Corridor,Released_Loads,Cars_Enroute,Cars_Dwelling,Cars_Entering,snapshotdate,Date
Vancouver,1556,5938,1151,921,2017-01-03,2017-01-01
Western Canada,0,2,2,0,2017-01-03,2017-01-01
Prince Rupert,625,1707,270,195,2017-01-04,2017-01-02
Vancouver,2017,5658,1045,639,2017-01-04,2017-01-02
Western Canada,0,2,2,0,2017-01-04,2017-01-02
Prince Rupert,625,1760,252,249,2017-01-05,2017-01-03
Vancouver,2094,5766,750,976,2017-01-05,2017-01-03
Western Canada,2,2,1,0,2017-01-05,2017-01-03
Prince Rupert,807,1353,254,11,2017-01-06,2017-01-04
Vancouver,1816,6212,768,1149,2017-01-06,2017-01-04
Western Canada,2,2,1,0,2017-01-06,2017-01-04
Prince Rupert,734,1448,166,308,2017-01-07,2017-01-05
Vancouver,1906,5787,722,433,2017-01-07,2017-01-05
Western Canada,0,2,1,0,2017-01-07,2017-01-05
Prince Rupert,405,1551,166,103,2017-01-08,2017-01-06
Vancouver,1595,5968,665,664,2017-01-08,2017-01-06
Western Canada,0,2,1,0,2017-01-08,2017-01-06
Prince Rupert,591,1457,161,97,2017-01-09,2017-01-07
Vancouver,1978,6073,742,1167,2017-01-09,2017-01-07
Western Canada,0,2,2,0,2017-01-09,2017-01-07
Prince Rupert,627,1439,191,205,2017-01-10,2017-01-08
Vancouver,2209,5822,660,553,2017-01-10,2017-01-08
Western Canada,0,2,2,0,2017-01-10,2017-01-08
Prince Rupert,548,1335,302,101,2017-01-11,2017-01-09
Vancouver,1796,5707,662,551,2017-01-11,2017-01-09
Western Canada,0,2,2,0,2017-01-11,2017-01-09
Prince Rupert,672,1073,261,46,2017-01-12,2017-01-10
Vancouver,1857,5732,563,875,2017-01-12,2017-01-10
Western Canada,0,6,2,4,2017-01-12,2017-01-10
Prince Rupert,624,932,287,9,2017-01-13,2017-01-11
